Prodi,Pendaftar,Tahun
Agribisnis,553,2015
Agroteknologi,234,2015
Farmasi,1103,2015
Kehutanan ,332,2015
Kesmas,332,2015
P. Biologi,515,2015
P. Dokter,780,2015
P. Matematika,371,2015
T. Informatika,872,2015
T. Sipil,465,2015
Agribisnis,1277,2016
Agroteknologi,683,2016
Farmasi,1722,2016
Kehutanan ,715,2016
Kesmas,1008,2016
P. Biologi,992,2016
P. Dokter,1317,2016
P. Matematika,745,2016
T. Informatika,1628,2016
T. Sipil,1273,2016
Agribisnis,1477,2017
Agroteknologi,831,2017
Farmasi,1724,2017
Kehutanan ,623,2017
Kesmas,1071,2017
P. Biologi,765,2017
P. Dokter,1377,2017
P. Matematika,651,2017
T. Informatika,1916,2017
T. Sipil,1514,2017
Agribisnis,1625,2018
Agroteknologi,867,2018
Farmasi,1579,2018
Kehutanan ,867,2018
Kesmas,1222,2018
P. Biologi,637,2018
P. Dokter,1610,2018
P. Matematika,487,2018
T. Informatika,2000,2018
T. Sipil,1490,2018
